profile,n,d,link,sigma_eps,sigma_x,corr,q,n_directions,n_centers,count,failed_count,quality_pass_rate,cosine_abs_mean,cosine_abs_min,angle_deg_mean,N_min_mean,N_frac_below_min_neighbors_mean,U_beta_denominator_min_mean,cg_iterations_total_mean,fit_time_sec_mean,peak_memory_kib_mean,complexity_proxy_mean,breakdown_dimension
extreme,2000,300,linear,0.05,0.5,0.0,0.1,32,300,1,0,1.0,0.9989130523743202,0.9989130523743202,2.6716605959149713,0.6085208135834604,0.6566666666666666,3.690168253703227e-05,721.0,25.932882961998985,172532.34375,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.0,0.25,32,300,1,0,1.0,0.9986829071018158,0.9986829071018158,2.940989763900361,0.518128523886616,0.6533333333333333,4.007142538474876e-71,805.0,24.90209613099978,135249.458984375,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.0,1.0,32,300,1,0,1.0,0.9988394718477157,0.9988394718477157,2.7606254039337945,0.5723261578133715,0.6733333333333333,1.6152412020228894e-67,813.0,24.99596378000024,135249.904296875,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.5,0.1,32,300,1,0,1.0,0.9952572053021552,0.9952572053021552,5.582472469581303,0.0,0.7066666666666667,0.0,662.0,24.20183009900029,135248.638671875,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.5,0.25,32,300,1,0,1.0,0.995594563560349,0.995594563560349,5.380116341549587,0.0,0.7233333333333334,0.0,636.0,24.221437729000172,135248.2021484375,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.5,1.0,32,300,1,0,1.0,0.9959326134228343,0.9959326134228343,5.169430124278564,0.0,0.7433333333333333,0.0,723.0,24.383339792999323,135249.109375,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.9,0.1,32,300,1,0,1.0,0.9200788988997447,0.9200788988997447,23.062380860127643,0.0,0.8166666666666667,0.0,30.0,22.43484332999833,135244.4453125,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.9,0.25,32,300,1,0,1.0,0.9192327654123659,0.9192327654123659,23.1858260343418,0.0,0.8066666666666666,0.0,30.0,22.390646410000045,135244.8359375,5760000000.0,
extreme,2000,300,linear,0.05,0.5,0.9,1.0,32,300,1,0,1.0,0.9234993985483297,0.9234993985483297,22.55684599899364,0.0,0.79,0.0,30.0,22.207664249999652,135244.7578125,5760000000.0,
extreme,2000,300,linear,0.05,2.0,0.0,0.1,32,300,1,0,1.0,0.9999334435554519,0.9999334435554519,0.6610511969794619,0.5974024605333742,0.6633333333333333,0.17754251455715078,643.0,23.827323310999418,135250.5859375,5760000000.0,
